951,고려신용정보,"5,800",30,+0.52%,500,"68,011",829,N/A,N/A,1.65,
952,메디콕스,"1,895",5,+0.26%,500,"3,061,780",829,-58.96,-30.80,0.00,
953,모비스,"2,575",0,0.00%,100,"316,897",828,386.56,-17.17,0.53,
954,대창솔루션,505,5,-0.98%,100,"4,676,745",827,26.18,112.20,0.82,
955,디티앤씨,"7,550",150,+2.03%,500,"98,477",827,23.84,-91.11,0.55,
956,UCI,"2,210",10,+0.45%,500,"986,570",826,-5.65,"-1,710.23",0.00,
957,케이엠제약,"2,960",20,+0.68%,100,"601,688",825,17.55,-197.10,0.80,
958,진양제약,"6,840",30,-0.44%,500,"205,449",821,1.04,-114.76,1.03,
959,대유에이피,"7,520",40,-0.53%,500,"82,883",818,N/A,N/A,1.02,
960,재영솔루텍,"1,115",20,-1.76%,500,"1,131,085",818,3.70,157.07,0.53,
961,현대사료,"13,300",50,+0.38%,500,"30,114",818,12.73,378.51,0.43,
962,알에스오토메이션,"8,970",180,-1.97%,500,"125,947",817,-16.72,-86.24,2.06,
963,티로보틱스,"7,310",10,-0.14%,500,"361,396",816,-22.51,-170.86,1.05,
964,매커스,"5,040",20,-0.40%,500,"206,788",815,-35.86,-54.06,12.70,
965,일진파워,"5,390",40,-0.74%,500,"177,390",813,15.97,-24.66,5.02,
966,동일금속,"11,600",0,0.00%,500,"2,369",812,-9.84,29.08,0.22,
967,디케이앤디,"10,450",100,+0.97%,500,"252,993",811,9.23,-19.84,7.06,
968,해덕파워웨이,"1,100",0,0.00%,100,0,811,17.21,29.52,2.38,
969,오스템,"2,895",35,-1.19%,500,"308,659",811,-3.49,-372.28,3.75,
970,슈프리마에이치큐,"7,730",40,-0.51%,500,"208,535",809,-18.51,-72.19,2.51,
971,엠젠플러스,"4,075",0,0.00%,500,0,808,5.26,32.31,1.20,
972,행남사,"1,770",0,0.00%,500,0,808,-11.38,70.87,0.06,
973,에스씨디,"1,670",10,-0.60%,500,"921,647",807,9.84,-29.56,54.67,
974,이노테라피,"16,000",50,-0.31%,500,"64,943",807,35.25,-50.82,1.68,
975,코메론,"8,910",10,-0.11%,500,"32,397",806,-3.08,11.99,15.41,
976,우진비앤지,"2,920",20,+0.69%,500,"966,778",806,9.79,67.63,1.97,
977,인프라웨어,"2,150",40,+1.90%,500,"689,714",805,-6.63,"-1,051.23",2.46,
978,세화피앤씨,"3,865",5,+0.13%,100,"120,030",802,5.48,-24.93,6.49,
979,서남,"3,915",65,+1.69%,500,"1,206,453",797,-70.88,-175.17,2.05,
980,디딤,"2,150",5,+0.23%,100,"251,718",796,29.12,-21.44,16.40,
981,램테크놀러지,"6,850",40,-0.58%,500,"116,572",795,33.09,111.29,0.80,
982,스카이이앤엠,"1,950",10,-0.51%,100,"989,620",793,42.09,-454.12,0.00,
983,대성창투,"1,980",10,+0.51%,500,"247,642",792,-28.47,-121.48,0.79,
984,CSA 코스믹,"2,135",60,-2.73%,500,"114,209",791,1.20,"-28,432.76",0.56,
985,제낙스,"15,950",0,0.00%,500,0,790,-30.38,-9.71,1.51,
986,플레이위드,"9,040",40,-0.44%,500,"43,286",787,374.23,810.34,1.85,
987,지엔원에너지,"2,520",40,+1.61%,100,"330,700",784,21.61,106.70,0.08,
988,웰크론한텍,"3,915",250,-6.00%,500,"3,896,388",782,2.43,-267.62,0.40,
989,제일제강,"2,645",45,+1.73%,500,"427,960",780,-17.77,-556.70,1.83,
990,EG,"10,400",200,+1.96%,"1,000","69,240",780,-40.28,116.71,2.21,
991,NHN벅스,"5,260",100,-1.87%,500,"51,702",780,-5.36,18.24,0.75,
992,티플랙스,"3,205",40,+1.26%,500,"646,939",778,7.85,12.26,2.17,
993,대주산업,"2,180",15,-0.68%,500,"451,335",772,0.29,-19.49,1.28,
994,아이앤씨,"4,360",70,-1.58%,500,"288,502",771,45.57,135.31,2.11,
995,에버다임,"4,300",10,+0.23%,500,"48,141",770,-20.10,-78.37,1.06,
996,삼보산업,"2,015",25,-1.23%,100,"1,181,966",768,12.45,77.89,1.47,
997,청보산업,"9,360",130,-1.37%,500,"278,312",766,1.37,123.55,2.16,
998,링크제니시스,"7,650",150,-1.92%,100,"296,704",765,-1.95,-56.07,0.56,
999,큐로홀딩스,632,2,+0.32%,500,"146,168",762,2.12,237.46,0.71,
1000,하이로닉,"5,400",160,+3.05%,100,"786,452",761,-0.98,"9,314.75",1.48,
1001,현우산업,"4,935",305,+6.59%,500,"12,871,363",760,14.02,8.59,0.55,
1002,흥국에프엔비,"1,980",25,-1.25%,100,"480,070",760,12.84,36.72,1.40,
1003,한라IMS,"6,470",20,+0.31%,500,"56,516",760,47.09,515.45,0.30,
1004,토탈소프트,"8,830",630,+7.68%,500,"3,251,265",756,1.61,24.41,0.57,
1005,까스텔바작,"11,450",550,+5.05%,500,"189,920",755,-11.90,-38.12,0.42,
1006,티라유텍,"13,900",600,+4.51%,100,"77,988",755,25.33,29.54,0.76,
1007,KMH하이텍,"1,610",20,-1.23%,500,"1,105,527",755,-3.42,25.25,3.55,
1008,SG,"2,055",35,+1.73%,100,"260,871",755,-6.66,-15.44,0.41,
1009,상신전자,"5,290",90,-1.67%,500,"1,278,108",754,-1.29,-0.44,0.22,
1010,라이브플렉스,555,7,-1.25%,500,"816,548",753,29.45,-116.09,1.00,
1011,켄코아에어로스페이스,"8,200",0,0.00%,500,"43,388",751,60.00,211.71,41.14,
1012,한네트,"6,450",80,-1.23%,500,"221,689",746,-4.50,-8.36,1.31,
1013,자연과환경,"1,400",10,+0.72%,500,"1,052,801",744,27.72,45.67,1.66,
1014,마이크로프랜드,"6,870",230,-3.24%,500,"313,290",743,-9.59,9.84,4.65,
1015,시그네틱스,867,14,-1.59%,500,"1,184,586",743,-12.57,-173.31,3.30,
1016,디스플레이텍,"3,975",65,+1.66%,500,"139,716",743,-23.94,83.59,1.93,
1017,데일리블록체인,"1,055",0,0.00%,500,"1,496,934",743,110.90,-46.86,0.77,
1018,대륙제관,"4,670",30,+0.65%,500,"114,388",743,0.48,48.65,4.53,
1019,덕신하우징,"1,610",0,0.00%,100,"1,459,739",742,10.08,-75.39,1.26,
1020,우리이앤엘,"1,485",45,-2.94%,500,"914,888",741,-6.76,-21.95,2.04,
1021,우양,"5,760",60,+1.05%,100,"516,965",741,9.75,-9.86,1.03,
1022,바른전자,"1,005",0,0.00%,500,0,741,-57.54,35.45,0.07,
1023,파인텍,"1,725",60,+3.60%,500,"2,682,915",740,18.27,901.42,2.17,
1024,본느,"2,405",5,-0.21%,100,"292,313",738,60.86,62.64,0.88,
1025,씨큐브,"7,280",40,-0.55%,500,"22,918",738,8.11,54.24,0.60,
1026,마이더스AI,685,18,-2.56%,100,"2,714,274",738,N/A,N/A,7.35,
1027,성도이엔지,"4,770",5,+0.10%,500,"103,936",738,31.47,-7.57,7.16,
1028,파인디지털,"7,190",10,+0.14%,500,"572,507",734,11.65,-115.18,1.00,
1029,삼영엠텍,"5,640",120,+2.17%,500,"388,918",733,1.06,270.25,2.00,
1030,대신정보통신,"1,900",0,0.00%,500,"812,212",730,-15.25,18.23,1.78,
1031,디알텍,"1,410",5,-0.35%,100,"424,624",730,7.00,-11.05,2.04,
